id,num,NAME,lat,lng
"12501058","892237553",PLANK'S-GROVE CITY,39.882200,-83.093300
"12886494","963649116",TALIATA'S,39.891600,-83.084300
"12905204","965835242",PARKERS TAVERN,39.882600,-83.093100
"470605","137524773",CHINA BELL RESTAURANT,39.877700,-83.055300
"905820","181318635",FAZOLI'S,39.879100,-83.058400
"948834","205823172",RUBY TUESDAY,39.879200,-83.052000
"1484294","252064951",ROOSTERS,39.879000,-83.047000
"1495190","253066971",STEAK 'N SHAKE,39.878300,-83.043300
"1657571","266244086",CHIPOTLE MEXICAN GRILL,39.878200,-83.042400
"1689059","268874997",LONGHORN STEAKHOUSE,39.879200,-83.042000
"1778040","308078427",MC DONALD'S,39.877600,-83.056200
"1798663","310225578",WHITE CASTLE,39.879000,-83.046100
"1821096","312561863",BOB EVANS RESTAURANT,39.878300,-83.046900
"1990310","365179670",O'CHARLEY'S,39.878100,-83.041800
"2091491","375012077",EL VAQUERO,39.878400,-83.038500
"2129867","378922074",SUBWAY,39.876000,-83.042200
"2165461","382530046",PANDA EXPRESS,39.879200,-83.043700
"2207661","386721732",RED ROBIN GOURMET BURGERS,39.878000,-83.040900
"2208255","386769970",KFC,39.878600,-83.055500
"2226840","388458291",SMOKEY BONES BAR & FIRE GRILL,39.877900,-83.040200
"4427673","415152620",PANERA BREAD,39.879400,-83.043700
"4845937","417510041",CITY BARBEQUE,39.878000,-83.063400
"4885112","417768449",JERSEY MIKE'S SUBS,39.877300,-83.039100
"4999274","420382691",PAULIE'S PIZZA & SWEETS,39.877600,-83.060000
"5182335","421948630",ROTOLO'S PIZZA GRANDVIEW,39.879200,-83.041000
"5201520","422068174",FUSION JAPANESE STEAKHOUSE INC,39.877100,-83.039500
"5566730","425166167",SUBWAY,39.878500,-83.038600
"5794403","426068063",GOTTLEB'S RESTAURANT,39.879200,-83.059300
"5794408","426068087",MC DONALD'S,39.876300,-83.056300
"6363004","433350021",TEXAS ROADHOUSE,39.877500,-83.045600
"6439685","433585417",GENJI GO,39.877000,-83.039600
"7395935","459124020",RALLY'S HAMBURGERS,39.877900,-83.054700
"7578492","476462973",TEE JAYE'S COUNTRY PLACE,39.879100,-83.053100
"7820314","498453562",WAFFLE HOUSE,39.878200,-83.053300
"8543253","576722284",APPLEBEE'S,39.878700,-83.056800
"8902836","609655683",OLIVE GARDEN ITALIAN RSTRNT,39.878800,-83.038300
"8979680","615915758",CHICK-FIL-A,39.879000,-83.039600
"9150500","629907833",CHARLEY'S GRILLED SUBS,39.879200,-83.043700
"9304539","643634645",BUFFALO WINGS & RINGS,39.878500,-83.038500
"9340139","646710285",GOLDEN CORRAL BUFFET & GRILL,39.878000,-83.056600
"9385957","649817590",GOLDEN CHINA EXPRESS,39.878600,-83.061300
